ncaa_id,date,team,opponent,home_away,result,team_score,opponent_score,s,kills,errors,total_attacks,hit_pct,assists,aces,s_err,digs,ret_att,r_err,block_solos,block_assists,b_err,pts,bhe,defensive_kills,defensive_errors,defensive_total_attacks,defensive_hit_pct,defensive_assists,defensive_aces,defensive_s_err,defensive_digs,defensive_ret_att,defensive_r_err,defensive_block_solos,defensive_block_assists,defensive_b_err,defensive_pts,defensive_bhe
2,2023-09-28,Abilene Christian,Grand Canyon,Away,L,0,3,3,35,14,98,0.214,33,7,7,32,71,8,0,2,0,43,NA,47,7,91,0.44,43,8,6,43,50,7,5,6,0,63,NA
2,2023-09-30,Abilene Christian,California Baptist,Away,W,3,2,5,66,17,163,0.301,58,9,10,73,100,8,1,14,1,83,NA,70,19,187,0.273,60,8,8,68,97,9,1,14,2,86,3
2,2023-10-05,Abilene Christian,Southern Utah,Home,W,3,0,3,39,12,111,0.243,37,8,6,63,48,5,3,6,1,53,NA,26,21,123,0.041,24,5,4,56,67,8,0,2,4,32,NA
2,2023-10-07,Abilene Christian,Utah Tech,Home,W,3,2,5,56,31,168,0.149,54,8,7,86,82,7,5,4,0,71,2,45,23,161,0.137,44,7,12,70,94,8,6,16,1,66,3
2,2023-10-12,Abilene Christian,UT Arlington,Away,W,3,2,5,61,27,163,0.209,57,8,14,61,104,4,1,16,1,78,NA,60,25,155,0.226,54,4,4,62,84,8,0,26,0,77,1
2,2023-10-14,Abilene Christian,SFA,Away,L,0,3,3,31,15,95,0.168,27,5,10,38,66,9,1,2,0,38,1,39,7,86,0.372,33,9,8,45,42,5,2,8,1,54,NA
2,2023-10-19,Abilene Christian,UTRGV,Home,L,0,3,3,39,21,121,0.149,36,7,7,51,71,5,0,8,3,50,NA,42,10,108,0.296,41,5,4,57,57,7,2,14,0,56,1
2,2023-10-23,Abilene Christian,Tarleton St.,Away,L,1,3,4,50,27,137,0.168,45,4,8,44,88,7,1,10,2,60,3,48,14,113,0.301,40,7,5,49,71,4,1,20,2,66,3
2,2023-10-26,Abilene Christian,Utah Valley,Away,L,0,3,3,39,29,119,0.084,37,5,10,46,70,3,2,11,2,51.5,NA,32,13,95,0.2,29,3,4,44,52,5,3,36,1,56,NA
2,2023-10-28,Abilene Christian,Seattle U,Away,L,2,3,5,77,36,207,0.198,74,7,8,98,96,10,2,4,0,88,NA,50,11,173,0.225,47,10,10,79,99,7,2,38,2,81,1
2,2023-11-02,Abilene Christian,California Baptist,Home,W,3,2,5,61,22,174,0.224,56,8,7,79,95,6,2,8,4,75,3,58,24,176,0.193,59,6,7,84,98,8,2,12,1,72,4
2,2023-11-04,Abilene Christian,Grand Canyon,Home,L,0,3,3,31,20,102,0.108,29,4,1,38,69,6,1,2,0,37,1,47,8,98,0.398,44,6,5,48,48,4,4,8,2,61,NA
2,2023-11-11,Abilene Christian,UTRGV,Away,L,1,3,4,43,23,140,0.143,38,5,4,51,81,7,2,14,1,57,NA,54,18,137,0.263,43,7,6,67,69,5,4,18,0,74,NA
2,2023-11-13,Abilene Christian,Tarleton St.,Home,L,1,3,4,54,23,179,0.173,50,8,6,75,92,8,1,8,1,67,NA,57,13,172,0.256,51,8,5,73,80,8,1,8,1,70,1
2,2023-11-16,Abilene Christian,SFA ,Away,L,1,3,4,57,31,168,0.155,55,2,7,75,88,5,1,6,1,63,NA,53,14,151,0.258,51,5,7,64,75,2,3,22,3,72,NA
721,2023-08-25,Air Force,Rhode Island,Home,W,3,0,3,36,16,94,0.213,34,6,7,34,47,2,1,12,0,49,1,27,22,92,0.054,26,2,8,35,67,6,0,12,1,35,2
721,2023-08-26,Air Force,Bryant,Home,W,3,1,4,53,19,117,0.291,48,3,8,42,70,4,1,23,2,68.5,NA,43,34,128,0.07,38,4,6,39,90,3,1,4,2,50,NA
721,2023-08-26,Air Force,UT Arlington,Home,L,2,3,5,59,28,160,0.194,56,6,13,58,101,6,6,28,6,85,1,60,36,166,0.145,56,6,6,58,96,6,1,12,0,73,1
721,2023-09-01,Air Force,UC San Diego ,Away,W,3,2,5,56,22,135,0.252,52,9,10,45,96,10,5,14,2,77,NA,58,29,139,0.209,55,10,7,50,93,9,4,12,2,78,NA
721,2023-09-01,Air Force,Gonzaga,Away,W,3,2,5,58,26,156,0.205,56,8,14,62,96,11,6,8,0,76,NA,54,22,156,0.205,50,11,10,64,90,8,3,21,1,78.5,3
721,2023-09-02,Air Force,Idaho ,Away,W,3,0,3,39,12,91,0.297,39,7,7,28,48,7,6,8,0,56,NA,24,23,83,0.012,23,7,6,26,69,7,1,4,0,34,NA
721,2023-09-08,Air Force,CSU Bakersfield ,Away,W,3,2,5,60,21,155,0.252,52,6,15,71,87,8,5,12,1,77,NA,49,34,163,0.092,47,8,8,67,94,6,1,12,1,64,NA
721,2023-09-08,Air Force,Santa Clara,Away,W,3,1,4,53,14,125,0.312,49,5,5,59,77,6,4,22,0,73,3,55,28,151,0.179,50,6,7,54,87,5,0,10,1,66,NA
721,2023-09-09,Air Force,Saint Mary's (CA) ,Away,W,3,1,4,44,21,140,0.164,40,5,6,65,79,10,4,24,1,65,NA,50,32,150,0.12,48,10,10,67,85,5,2,16,2,70,NA
721,2023-09-15,Air Force,Milwaukee,Away,L,2,3,5,61,19,170,0.247,60,3,9,77,94,9,2,18,2,75,NA,69,25,181,0.243,65,9,12,81,93,3,3,8,1,85,NA
721,2023-09-16,Air Force,Marquette,Away,L,0,3,3,27,11,97,0.165,27,1,7,41,66,6,1,8,1,33,1,50,13,113,0.327,48,6,7,56,43,1,0,12,1,62,NA
721,2023-09-21,Air Force,Fresno St.,Away,W,3,1,4,62,22,149,0.268,54,6,7,61,89,9,3,0,2,71,NA,53,17,141,0.255,49,9,6,58,85,6,5,8,6,71,NA
721,2023-09-23,Air Force,Nevada,Away,W,3,0,3,45,10,93,0.376,37,4,7,39,54,9,3,4,1,54,NA,32,20,101,0.119,28,9,6,31,67,4,1,6,2,45,NA
721,2023-09-28,Air Force,Boise St.,Home,L,2,3,5,64,28,163,0.221,60,2,11,63,108,11,4,14,1,77,1,64,27,166,0.223,59,11,6,60,93,2,1,22,6,87,1
721,2023-09-30,Air Force,Utah St.,Home,W,3,2,5,61,26,146,0.24,53,3,7,46,91,6,2,16,2,74,2,58,24,132,0.258,58,6,9,48,93,3,2,14,1,73,2
721,2023-10-05,Air Force,San Diego St.,Away,W,3,2,5,61,17,152,0.289,59,3,6,46,102,4,3,12,1,73,1,77,28,161,0.304,75,4,5,60,95,3,1,4,2,84,4
721,2023-10-07,Air Force,UNLV,Away,L,1,3,4,45,27,114,0.158,39,5,4,34,88,10,1,10,0,56,NA,56,14,109,0.385,52,10,10,39,72,5,0,22,0,77,NA
