ncaa_id,date,team,opponent,home_away,result,team_score,opponent_score,s,kills,errors,total_attacks,hit_pct,assists,aces,s_err,digs,ret_att,r_err,block_solos,block_assists,b_err,tb,pts,bhe.x,defensive_kills,defensive_errors,defensive_total_attacks,defensive_hit_pct,defensive_assists,defensive_aces,defensive_s_err,defensive_digs,defensive_ret_att,defensive_r_err,defensive_block_solos,defensive_block_assists,defensive_b_err,defensive_tb,defensive_pts,bhe.y
2,2022-09-09,Abilene Christian,UTEP ,Away,L,1,3,4,40,28,144,0.083,36,9,10,52,83,5,0,6,1,3,52,NA,55,19,140,0.257,54,5,17,68,78,9,2,18,3,11,71,1
2,2022-09-10,Abilene Christian,Tulsa ,Away,L,1,3,4,51,25,177,0.147,48,5,6,89,89,9,1,6,2,4,60,NA,56,18,178,0.213,55,9,7,87,78,5,3,2,1,4,69,NA
2,2022-09-13,Abilene Christian,Oklahoma,Home,L,0,3,3,27,24,109,0.028,26,5,1,41,65,4,0,4,0,2,34,NA,45,11,100,0.34,43,4,8,47,52,5,1,18,2,10,59,NA
2,2022-09-16,Abilene Christian,Texas St. ,Away,L,2,3,5,72,29,168,0.256,68,6,8,55,102,2,0,12,2,6,84,NA,71,15,151,0.371,68,2,9,63,95,6,2,16,6,10,83,1
2,2022-09-17,Abilene Christian,TCU,Away,L,2,3,5,61,29,174,0.184,57,5,8,77,97,7,2,24,0,14,80,NA,63,24,177,0.22,59,7,12,70,98,5,3,26,1,16,86,NA
2,2022-09-17,Abilene Christian,Louisiana ,Away,L,1,3,4,40,30,131,0.076,36,3,10,46,88,3,0,14,1,7,50,NA,54,19,127,0.276,47,3,7,49,63,3,2,24,2,14,71,NA
2,2022-09-22,Abilene Christian,Sam Houston,Home,W,3,2,5,72,19,151,0.351,65,6,12,71,81,5,0,14,0,7,85,5,42,22,152,0.132,37,5,5,47,95,6,1,10,0,6,53,1
2,2022-09-29,Abilene Christian,UT Arlington,Home,L,1,3,4,55,23,161,0.199,50,4,9,61,89,6,0,14,0,7,66,NA,58,20,146,0.26,53,6,6,73,77,4,2,12,1,8,72,NA
2,2022-10-01,Abilene Christian,SFA,Home,L,2,3,5,59,29,177,0.169,56,5,12,75,95,6,0,12,1,6,70,NA,60,17,165,0.261,56,6,11,81,84,5,4,14,1,11,77,1
2,2022-10-06,Abilene Christian,Southern Utah,Away,L,0,3,3,31,21,112,0.089,26,5,7,29,72,4,3,0,10,3,39,NA,43,16,94,0.287,38,4,1,54,49,5,8,0,8,8,55,NA
2,2022-10-08,Abilene Christian,Utah Tech,Away,L,0,3,3,38,14,108,0.222,37,4,5,53,68,8,4,2,0,5,47,4,44,9,113,0.31,43,8,5,53,55,4,2,4,0,4,56,2
2,2022-10-13,Abilene Christian,California Baptist,Away,L,1,3,4,53,23,144,0.208,49,2,13,62,85,4,0,18,1,9,64,NA,52,20,146,0.219,48,4,7,61,70,2,2,14,1,9,65,NA
2,2022-10-15,Abilene Christian,Grand Canyon,Home,W,3,2,5,62,33,188,0.154,57,3,13,86,88,4,0,22,2,11,76,NA,53,29,181,0.133,51,4,15,83,97,3,5,16,1,13,70,1
2,2022-10-20,Abilene Christian,UT Arlington,Away,L,2,3,5,66,26,187,0.214,63,5,13,73,100,3,1,14,2,8,79,1,61,26,180,0.194,54,3,3,81,92,5,3,16,2,11,75,4
2,2022-10-22,Abilene Christian,Tarleton St.,Home,W,3,1,4,54,23,138,0.225,51,6,7,64,71,4,1,16,0,9,69,NA,39,27,148,0.081,38,4,4,52,85,6,0,16,2,8,51,2
2,2022-10-27,Abilene Christian,Seattle U,Home,W,3,0,3,39,16,124,0.185,37,7,5,54,57,3,1,10,3,6,52,1,35,22,118,0.11,32,3,6,53,69,7,1,16,2,9,47,1
2,2022-10-29,Abilene Christian,Utah Valley,Home,L,1,3,4,54,23,130,0.238,50,6,7,44,90,8,0,16,1,8,68,NA,61,24,134,0.276,59,8,8,46,88,6,1,20,0,11,80,2
2,2022-11-05,Abilene Christian,Sam Houston,Away,L,1,3,4,55,29,170,0.153,55,2,6,75,95,3,1,12,2,7,64,1,58,23,164,0.213,55,3,2,77,78,2,0,22,2,11,72,1
2,2022-11-10,Abilene Christian,UTRGV,Away,L,1,3,4,49,20,133,0.218,47,4,10,50,89,5,1,8,2,5,58,2,59,13,134,0.343,56,5,8,58,67,4,0,12,0,6,70,1
2,2022-11-12,Abilene Christian,New Mexico St.,Away,L,0,3,3,28,23,86,0.058,27,4,4,34,62,7,3,4,5,5,37,1,39,11,92,0.304,36,7,11,34,54,4,7,8,6,11,57,1
721,2022-08-26,Air Force,Tex. A&M-Commerce,Home,W,3,0,3,41,18,94,0.245,39,8,9,32,64,5,2,12,1,8,57,4,30,24,98,0.061,27,5,4,30,68,8,2,10,1,7,42,NA
721,2022-08-27,Air Force,CSUN,Home,W,3,2,5,55,19,129,0.279,53,10,14,44,89,6,7,22,2,18,83,4,57,31,145,0.179,49,6,11,50,98,10,4,6,2,7,70,1
721,2022-08-27,Air Force,Drake,Home,W,3,2,5,64,29,159,0.22,63,7,11,50,104,2,2,30,0,17,88,NA,64,32,162,0.198,59,2,4,52,96,7,2,16,1,10,76,NA
721,2022-09-02,Air Force,Siena ,Away,W,3,2,5,56,19,172,0.215,55,6,15,90,87,12,2,16,2,10,72,1,47,36,187,0.059,44,12,11,86,96,6,0,12,2,6,65,1
721,2022-09-03,Air Force,Brown,Away,W,3,2,5,64,26,157,0.242,61,10,11,49,106,11,2,24,0,14,88,1,61,26,155,0.226,57,11,5,58,95,10,0,16,1,8,80,1
